"item","Qantity","price","link to buy"
"Pla+ filament","30gram","0.3$","https://india.numakers.com/products/pla-filament"
"Pla+ filament","70gram","0.6$","https://india.numakers.com/products/pla-filament"
"Total","100gram","0.9$","https://india.numakers.com/products/pla-filament"
